Frete Carreteiro,Data Saída,ORIGEN,DESTINO,KM,Mês,Lat_Origem,Lng_Origem,Lat_Destino,Lng_Destino,Trimestre,Ano,Valor_por_km,Sintético
135.0,29/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,27/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,30/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,12/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,1/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,1/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,1/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,3/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,3/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,5/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,12/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,12/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,14/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
135.0,12/9/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,9,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.569620253164557,0
130.0,22/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5909090909090909,0
130.0,22/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5909090909090909,0
130.0,22/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5909090909090909,0
130.0,22/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5909090909090909,0
130.0,22/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5909090909090909,0
130.0,22/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5909090909090909,0
130.0,22/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5909090909090909,0
130.0,12/8/2022,"-24.971178054735628, -54.91793994943042","-24.728959064923462, -53.73445238263191",237,8,-24.971178054735628,-54.91793994943042,-24.728959064923462,-53.73445238263191,3,2022,0.5485232067510548,0
120.0,9/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5454545454545454,0
120.0,15/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5454545454545454,0
120.0,10/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,10/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,10/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,10/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,16/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,16/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,16/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,16/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,17/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,17/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,17/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,18/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,18/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,18/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,18/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,18/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,22/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,22/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,22/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,22/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,23/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,23/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,23/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,23/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,25/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,23/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,23/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
120.0,25/11/2022,"-24.971178054735628, -54.91793994943042","-24.55267246177904, -54.05813470126201",230,11,-24.971178054735628,-54.91793994943042,-24.55267246177904,-54.05813470126201,4,2022,0.5217391304347826,0
110.0,2/6/2022,"-24.971178054735628, -54.91793994943042","-25.01481026070991, -53.4254684877848",220,6,-24.971178054735628,-54.91793994943042,-25.01481026070991,-53.4254684877848,2,2022,0.5,0
